Model,peak_IRF,persistance,FEVD_1,FEVD_5,FEVD_10,FEVD_20
Local,-0.0005857280610754006,0,0.0,,,
USD,-0.0005857280610754006,0,0.0,,,
Local+FX,-0.0005857280610754006,0,0.0,,,
