Model,peak_IRF,persistance,FEVD_1,FEVD_5,FEVD_10,FEVD_20
Local,-0.0063425520312589525,0,0.0,,,
USD,-0.0070479054433426926,0,0.0,,,
Local+FX,-0.0063206518365660205,0,0.0,,,
